"GEOID","urbanPercent","URBAN_POP","TRACT_POP"
"060371284",0.5,4516,9032
"060371285",0.5,4294,8588
"060371286",0.695090439276486,7801,11223
"060371287",1,5911,5911
"060371288",1,8478,8478
"060371289",1,4384,4384
"060371310",1,12513,12513
"060371311",1,3264,3264
"060371312",1,3549,3549
"060371313",1,4854,4854
"060371314",1,6149,6149
"060371316",1,5366,5366
"060371317",1,8396,8396
"060371318",1,5656,5656
"060371319",1,4382,4382
"060371320",1,6528,6528
"060371321",0.639085185661056,9948,15566
"060371323",1,6582,6582
"060371325",1,8609,8609
"060371327",1,5038,5038
"060371329",1,3538,3538
"060371330",1,4424,4424
"060371331",1,5467,5467
"060371340",1,7191,7191
"060371341",1,13714,13714
"060371342",1,4271,4271
"060371343",1,19235,19235
"060371344",1,15010,15010
"060371345",1,12588,12588
"060371347",1,10194,10194
"060371348",1,6373,6373
"060371349",1,18921,18921
"060371351",1,16386,16386
"060371352",0.848718571602089,13975,16466
"060371370",1,4754,4754
"060371371",1,7676,7676
"060371372",1,6004,6004
"060371373",1,6579,6579
"060371374",1,10371,10371
"060371375",1,11023,11023
"060371380",1,4575,4575
"060371390",1,5125,5125
"060371392",1,5519,5519
"060371393",1,13907,13907
"060371394",1,5676,5676
"060371395",1,12192,12192
"060371396",1,5185,5185
"060371397",1,14398,14398
"060371398",0.994987129115296,7344,7381
"060371411",1,7926,7926
"060371412",1,7211,7211
"060371413",1,12166,12166
"060371414",1,4705,4705
"060371415",1,3089,3089
"060371416",1,4088,4088
"060371417",1,3096,3096
"060371431",1,4436,4436
"060371432",1,4377,4377
"060371433",1,6603,6603
"060371434",1,6423,6423
"060371435",1,5197,5197
"060371436",1,10748,10748
"060371437",0.5,3800,7600
"060371438",1,5224,5224
"060371439",1,7298,7298
"060371810",1,6132,6132
"060371813",1,3613,3613
"060371814",1,4134,4134
"060371815",1,3653,3653
"060371816",1,4247,4247
"060371831",1,9593,9593
"060371832",1,9886,9886
"060371833",1,3083,3083
"060371834",1,5223,5223
"060371835",1,5818,5818
"060371836",1,5725,5725
"060371837",1,6507,6507
"060371838",1,7886,7886
"060371851",1,5820,5820
"060371852",1,8310,8310
"060371853",1,5487,5487
"060371861",1,4678,4678
"060371862",1,7821,7821
"060371863",1,7869,7869
"060371864",0.774392672242135,7778,10044
"060371871",0.634696251230205,7094,11177
"060371872",1,2801,2801
"060371873",1,3456,3456
"060371881",1,4070,4070
"060371882",1,5838,5838
"060371883",1,3271,3271
"060371891",1,5905,5905
"060371892",1,6031,6031
"060371893",1,3216,3216
"060371894",1,3575,3575
"060371895",1,4434,4434
"060371896",0.5,3738,7476
"060371897",0.615295480880649,7434,12082
"060371898",1,4307,4307
"060371899",1,12372,12372
"060371901",1,4569,4569
"060371902",1,6440,6440
"060371903",0.658036826803267,4753,7223
"060371904",1,5245,5245
"060371905",1,7851,7851
"060371907",1,3287,3287
"060371908",1,5294,5294
"060371909",1,7624,7624
"060371910",1,5893,5893
"060371911",1,6942,6942
"060371912",1,8465,8465
"060371913",1,4268,4268
"060371914",1,6761,6761
"060371915",1,4980,4980
"060371916",1,6899,6899
"060371917",1,6110,6110
"060371918",1,6307,6307
"060371919",1,6524,6524
"060371920",1,5124,5124
"060371923",0.5,2863,5726
"060371924",0.668890742285238,7218,10791
"060371925",0.644243421052632,7834,12160
"060371926",0.5,7409,14818
"060371927",0.5,3550,7100
"060371941",0.674250050332192,6698,9934
"060371942",1,3596,3596
"060371943",1,2972,2972
"060371944",0.5,5705,11410
"060371945",1,2347,2347
"060371951",1,4974,4974
"060371952",1,6274,6274
"060371953",1,3070,3070
"060371954",0.5,4244,8488
"060371955",0.5,4991,9982
"060371956",1,3056,3056
"060371957",0.596992019643953,5835,9774
"060371958",0.736255286428297,7660,10404
"060371959",1,6084,6084
"060371972",1,3287,3287
"060371973",1,3650,3650
"060371974",0.656441149212234,7083,10790
"060371975",1,3973,3973
"060371976",1,2431,2431
"060371977",1,4565,4565
"060371990",1,5465,5465
"060371991",1,6154,6154
"060371992",1,6369,6369
"060371993",1,3545,3545
"060371994",1,4470,4470
"060371997",1,3393,3393
"060371998",1,5180,5180
"060371999",1,2641,2641
"060372011",1,6727,6727
"060372012",1,2362,2362
"060372013",1,7291,7291
"060372014",1,8747,8747
"060372015",1,10287,10287
"060372016",1,4869,4869
"060372017",1,5055,5055
"060372031",1,4688,4688
"060372032",1,4264,4264
"060372033",1,2280,2280
